qseqid	final_id	reason
a52d9bd8609d4fadda3bef570768522e1daf3d86	NA%NA%NA%NA%NA%NA	10
5c1307d9566fef5e2532e2f9fa5a84389c735464	NA%NA%NA%NA%NA%NA	10
50ad32a08dc58bbdc80cf8a499f0af85a109eb21	NA%NA%NA%NA%NA%NA	10
3db5d21a7dcb2f946df70cbc64f4b4849e13bd59	NA%NA%NA%NA%NA%NA	10
648bb86a57d11f5a55193ae93cce64c236aef2de	NA%NA%NA%NA%NA%NA	10
bc63f4762019c29f9072a8bea3e6d6d957930e55	Rotifera%Eurotatoria%NA%NA%NA%NA	10
096298f8e0f35ad9afb4b1dd4457978443d30696	NA%NA%NA%NA%NA%NA	10
1276767a720d41f770bd51f6621207e4fbe14f70	NA%NA%NA%NA%NA%NA	10
7eb330ab352999d37dbe4373cc6fe00384f97223	NA%NA%NA%NA%NA%NA	10
a42a5835f5d58b52ff5bc0323934ee2ef9737f9f	NA%NA%NA%NA%NA%NA	10
d2ede21480ac42a8aa8f37201d696217fa1a73cf	NA%NA%NA%NA%NA%NA	10
e3b675949c7e8130cb8c0f2d4c7155ccc47daa8d	NA%NA%NA%NA%NA%NA	10
7f2e6fdc9678a2e6b336c5fd3d83504e8fe703e2	NA%NA%NA%NA%NA%NA	10
87622d73f173214c9e3635dc8ccfcb56fe97f151	NA%NA%NA%NA%NA%NA	10
803ccbbcd780fb79519cc04f1d52980c04115a0a	Ascomycota%Dothideomycetes%Cladosporiales%Cladosporiaceae%Cladosporium%Cladosporium bruhnei	1
f9f3d3504d9a374a5022f34bcfdbc8916156aeab	NA%NA%NA%NA%NA%NA	10
2ea5b0c6f9e7000037c604e87bfe94ce1a453e38	Ascomycota%Sordariomycetes%Hypocreales%NA%NA%NA	10
02cfd0142abb05f9276f7f0fb0d626601d7da8c6	NA%NA%NA%NA%NA%NA	10
0314e480baacd4625ebf7765021099e865b745b7	NA%NA%NA%NA%NA%NA	10
16f772113ee75b7578daf22c5e2832ae964fc230	NA%NA%NA%NA%NA%NA	10
1767d44dd27a6a51ad73ee742c68d2a44f62d0bb	NA%NA%NA%NA%NA%NA	10
21dbd1f241973186399b8b0e10fc9ff501fe71a8	NA%NA%NA%NA%NA%NA	10
28100549288b4ffc294bfaed7d4d249d71e02a0c	NA%NA%NA%NA%NA%NA	10
2842546690618a12b01bc8c72ef58807befffafd	NA%NA%NA%NA%NA%NA	10
7cd4fe60d91901a3a7f9eb34ea25332d0417189f	NA%NA%NA%NA%NA%NA	10
4cb3df333f44755d32c3a846ceb03cfeb8b6a6b4	NA%NA%NA%NA%NA%NA	10
4e6377c9a93cbf3d8b413373aa158e4fdd77bb50	Ascomycota%Dothideomycetes%Cladosporiales%NA%NA%NA	10
66697106489f57f6805980e6514feb10b79bd0a0	Chordata%Actinopteri%NA%NA%NA%NA	10
7a6492264af93dbae12716a6e7a15d9de227fee6	NA%NA%NA%NA%NA%NA	10
7b4ce8a5594964a111fce4ad979c40c5edaf7e65	NA%NA%NA%NA%NA%NA	10
9ae76e5532f6fd603a89a5572d53a5f090986475	NA%NA%NA%NA%NA%NA	10
28a7fe19d08a216ebcfccd9e68b44b845016353e	Chordata%Actinopteri%Cichliformes%Cichlidae%Amphilophus%NA	3
b7497f2ab415c00abe0b6f2966a7e2f8857c1252	Arthropoda%Hexanauplia%Calanoida%NA%NA%NA	10
088b13a052c7a693cdd14d2a3c03d24cc0926792	NA%NA%NA%NA%NA%NA	10
7abeaba0d9a6ee064544360ba2eea104b5bec194	NA%NA%NA%NA%NA%NA	10
bb9a747fc942dffeea44eaeca1c7b1824b5fcff2	NA%NA%NA%NA%NA%NA	10
c469ec9c321cd5516acbbceb360a17ddad65d6b3	Porifera%Demospongiae%Clionaida%Clionaidae%NA%NA	7
ae359464cb8c0a8fc9402f2c1116dee40d27cbc2	Arthropoda%Arachnida%Sarcoptiformes%Proctophyllodidae%NA%NA	7
942a3ca0b253ad7297057a31ad27126d2644c4a3	NA%NA%NA%NA%NA%NA	10
2b20e74cb568b5e8ef8890b64fc543bd3f3408cb	NA%NA%NA%NA%NA%NA	10
6c3f79496c717fec95c234ddb50c8cd695aa44ab	NA%NA%NA%NA%NA%NA	10
786ea95a0817204a0bb4aea2863b11e1eeba0fa4	NA%NA%NA%NA%NA%NA	10
efbfd9f97b3cd610c5b651ef4295ade884f22e58	Arthropoda%NA%NA%NA%NA%NA	10
f14bcd13b47f9847d37789b3b98b47999d690d1b	NA%NA%NA%NA%NA%NA	10
cead256e5400d1a7963f1d7a479d1ea755f789fc	NA%NA%NA%NA%NA%NA	10
ddd8d3c1f788f7ac7fb9be82c599824dec777e53	NA%NA%NA%NA%NA%NA	10
b129eaa7ebb0e6b50199c7e3356d8c11b8b82ccd	Bacillariophyta%Bacillariophyceae%Naviculales%Sellaphoraceae%Sellaphora%NA	3
b30fcf7a6ea798059e1c28fe468b1e97386e7635	NA%NA%NA%NA%NA%NA	10
