representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
11f00b5ac298b31168d0c3716352ef6ced3cd995,2759,Eukaryota,superkingdom,1,,,,,,,
8e1f765ed1466067461813254f869505e072b8fb,2759,Eukaryota,superkingdom,1,,,,,,,
92bd36f6628859ee1f38a96158f8ddb2d04c8488,33154,Opisthokonta,no rank,1,,,,,,,
995f2a419a46c45997233e8c04b861059cbf7727,33213,Bilateria,no rank,0.9675,Metazoa,,,,,,
3db5d21a7dcb2f946df70cbc64f4b4849e13bd59,33154,Opisthokonta,no rank,1,,,,,,,
66697106489f57f6805980e6514feb10b79bd0a0,8139,Oreochromis,genus,NA,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis,
94592569274c20598b40ff7393d102d66605ba89,2759,Eukaryota,superkingdom,1,,,,,,,
03821b0646f1e0400f73ba96b08111b60e557fe5,2759,Eukaryota,superkingdom,1,,,,,,,
50ba5b4183afc9f4c2ac7fb46214bbb1de709aa6,1,root,no rank,1,,,,,,,
5b269a46c9a8265b47aee5a2f16a2c2f2f5becdd,2759,Eukaryota,superkingdom,1,,,,,,,
648bb86a57d11f5a55193ae93cce64c236aef2de,131567,cellular organisms,no rank,1,,,,,,,
7ca318ee91f599d8dae8965eedba798a302d4b97,2759,Eukaryota,superkingdom,1,,,,,,,
a3a6300f77194849cdfcf258607c8fcdac11c3bf,131567,cellular organisms,no rank,1,,,,,,,
a52d9bd8609d4fadda3bef570768522e1daf3d86,131567,cellular organisms,no rank,1,,,,,,,
0314e480baacd4625ebf7765021099e865b745b7,131567,cellular organisms,no rank,1,,,,,,,
51b68582ecd3224b2a82bfd0fc666fe4502aeff9,131567,cellular organisms,no rank,1,,,,,,,
839ae5ea6670b490d5a7456774172f3a28fb93a7,2759,Eukaryota,superkingdom,0.9999,,,,,,,
9d6ee5e5c08b35d071df9afa13cfcd46ac94f69f,2759,Eukaryota,superkingdom,1,,,,,,,
a01af1a8b7f0f1152e76f4c6e1a894f9ebe081eb,2759,Eukaryota,superkingdom,1,,,,,,,
a313acfe01a768248711d8e91612cfde42cf78c9,33154,Opisthokonta,no rank,1,,,,,,,
a7a0dea09414f0199efd36b4d9f2af7facd3959f,33154,Opisthokonta,no rank,0.9998,,,,,,,
c55fe56917e9c4a407b5cef9d75178487311fd82,2759,Eukaryota,superkingdom,1,,,,,,,
ca69a5c4802bf9ea596f549aa1bbc99814ad9f52,2759,Eukaryota,superkingdom,0.9919,,,,,,,
cf54d5610d308a825401043abde3e8f0cef6d54d,33154,Opisthokonta,no rank,1,,,,,,,
d40ab64ed04145f8a1a12e7620e71cda15b06c0c,1,root,no rank,NA,,,,,,,
f9c8b54ac1c0e076bb4cbcaf9b11fbf710bb3066,131567,cellular organisms,no rank,1,,,,,,,
16d80e194fbea45d21c986c33fabcf81fd923ddd,2759,Eukaryota,superkingdom,1,,,,,,,
16f772113ee75b7578daf22c5e2832ae964fc230,2759,Eukaryota,superkingdom,0.9424,,,,,,,
39629aba1aade359de92ac8bbd56ae03a4572231,131567,cellular organisms,no rank,1,,,,,,,
7227ec3fdb7871a8b0c961c357156df5b96d2225,1,root,no rank,NA,,,,,,,
7b4ce8a5594964a111fce4ad979c40c5edaf7e65,2759,Eukaryota,superkingdom,1,,,,,,,
7f610a1a3fbb7b6b74c84a0ce7eba5b03c37c87f,2759,Eukaryota,superkingdom,1,,,,,,,
91b79e0a72f9084ea2b92e04435530fbfea3ed1a,33850,Bacillariophycidae,no rank,1,,Bacillariophyta,Bacillariophyceae,,,,
d71fce5b616166dcac914f33fac4462842f50536,131567,cellular organisms,no rank,1,,,,,,,
eaf4b10a984603f0bec02ad457c6f514ebc04143,2759,Eukaryota,superkingdom,1,,,,,,,
faaf0116bb7312b16d8be882aa1c69e8fbbb70aa,33154,Opisthokonta,no rank,1,,,,,,,
02cfd0142abb05f9276f7f0fb0d626601d7da8c6,2759,Eukaryota,superkingdom,1,,,,,,,
1767d44dd27a6a51ad73ee742c68d2a44f62d0bb,2759,Eukaryota,superkingdom,0.9889,,,,,,,
21dbd1f241973186399b8b0e10fc9ff501fe71a8,2759,Eukaryota,superkingdom,1,,,,,,,
21fa09703d47b0658893b3bac49e0175e16ca9f7,33317,Protostomia,no rank,1,Metazoa,,,,,,
2785e2d7ace5ba576039bbbccea6b376528a031e,2759,Eukaryota,superkingdom,1,,,,,,,
28100549288b4ffc294bfaed7d4d249d71e02a0c,1,root,no rank,NA,,,,,,,
47f82bc8cb96945c5b200495364d38797c95d075,2759,Eukaryota,superkingdom,1,,,,,,,
4cb3df333f44755d32c3a846ceb03cfeb8b6a6b4,2759,Eukaryota,superkingdom,0.9986,,,,,,,
5203f1732944e34aa84f20bdd6eae9239e9712e2,1,root,no rank,NA,,,,,,,
6332277822183f2d344ad1e8e9dfb34a84a64ea6,2759,Eukaryota,superkingdom,1,,,,,,,
7466035910dae861bbd85a80b15cf59d282415eb,131567,cellular organisms,no rank,1,,,,,,,
7abeaba0d9a6ee064544360ba2eea104b5bec194,2759,Eukaryota,superkingdom,0.9913,,,,,,,
7cd4fe60d91901a3a7f9eb34ea25332d0417189f,1,root,no rank,NA,,,,,,,
7eb330ab352999d37dbe4373cc6fe00384f97223,2759,Eukaryota,superkingdom,1,,,,,,,
803ccbbcd780fb79519cc04f1d52980c04115a0a,33154,Opisthokonta,no rank,1,,,,,,,
87622d73f173214c9e3635dc8ccfcb56fe97f151,2759,Eukaryota,superkingdom,1,,,,,,,
dbb40f9269a031ef9d04c34611c0aed9cd987d37,2759,Eukaryota,superkingdom,0.9972,,,,,,,
dd03a7efdfa58dcda131ba60a244be7dcfe78d1e,2759,Eukaryota,superkingdom,1,,,,,,,
e3b675949c7e8130cb8c0f2d4c7155ccc47daa8d,2759,Eukaryota,superkingdom,1,,,,,,,
f9f3d3504d9a374a5022f34bcfdbc8916156aeab,33154,Opisthokonta,no rank,1,,,,,,,
1181dde88e088eef34acbbc7240bbcc746b8ec3b,2759,Eukaryota,superkingdom,1,,,,,,,
b7950ae55bb966f90f7c585bcced46431b59b6aa,131567,cellular organisms,no rank,1,,,,,,,
feb9762c729716e1f7d930f4db019d46aaf09600,2759,Eukaryota,superkingdom,1,,,,,,,
28a7fe19d08a216ebcfccd9e68b44b845016353e,61818,Amphilophus,genus,NA,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Amphilophus,
ceac79f871e1fed24dba2c51cf4d8cc75b4c64ab,1,root,no rank,NA,,,,,,,
ae359464cb8c0a8fc9402f2c1116dee40d27cbc2,131567,cellular organisms,no rank,1,,,,,,,
3966e66504c6c6cff852d94d9ec0a17f93fe0ca2,1,root,no rank,NA,,,,,,,
088b13a052c7a693cdd14d2a3c03d24cc0926792,131567,cellular organisms,no rank,1,,,,,,,
f14bcd13b47f9847d37789b3b98b47999d690d1b,2759,Eukaryota,superkingdom,1,,,,,,,
21482fbfbab5a527dc9e726ab4c907ce3ea68abc,2759,Eukaryota,superkingdom,1,,,,,,,
41c85164433961e0915dda048ddc7f2d6e4ec524,131567,cellular organisms,no rank,1,,,,,,,
3bcee30634327df4ab2a0ba48b3f86b42bad2b9c,2759,Eukaryota,superkingdom,1,,,,,,,
3fbbee22df3223807353414ce51ba7c82040e52c,33154,Opisthokonta,no rank,1,,,,,,,
456617d2e8af4b162ccc0082e622e4ac226e04b0,2759,Eukaryota,superkingdom,1,,,,,,,
bfcbfb7aa31d89b041da02cd7bea5ab2816721e9,33317,Protostomia,no rank,1,Metazoa,,,,,,
1a836333916c3a9aea420ca50563ac81826ae90b,1,root,no rank,NA,,,,,,,
2842546690618a12b01bc8c72ef58807befffafd,2759,Eukaryota,superkingdom,0.993,,,,,,,
2ea5b0c6f9e7000037c604e87bfe94ce1a453e38,33154,Opisthokonta,no rank,1,,,,,,,
35d6ca3d4db0e8772fb284a5f8faa00a44d5d430,2759,Eukaryota,superkingdom,1,,,,,,,
58b614c9d4266769c79c686782a4e569e61a0bff,2759,Eukaryota,superkingdom,1,,,,,,,
8127ca1eb3505b97a1694235fb50861bb6c2fd14,2759,Eukaryota,superkingdom,1,,,,,,,
bb9a747fc942dffeea44eaeca1c7b1824b5fcff2,84394,Ploima,order,0.9993,Metazoa,Rotifera,Monogononta,Ploima,,,
f2fc5f2065479d85bd2f07d9db2a425fe48bac21,2759,Eukaryota,superkingdom,1,,,,,,,
1c1a7913edb9011a32de8e013d1e0cad4364a8ed,2759,Eukaryota,superkingdom,1,,,,,,,
786ea95a0817204a0bb4aea2863b11e1eeba0fa4,2759,Eukaryota,superkingdom,1,,,,,,,
942a3ca0b253ad7297057a31ad27126d2644c4a3,33154,Opisthokonta,no rank,0.9066,,,,,,,
9bd2e2940e4cd6b4a4243f65e4678652700ab2df,2759,Eukaryota,superkingdom,0.9929,,,,,,,
a1eeb33b5275ee744315511993b933c4f0ce135c,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
0bd4dcec5453d8d7853f98190d78ee084c750544,2759,Eukaryota,superkingdom,1,,,,,,,
225712cf236b4ab4abd94192d0714867460c0bb3,2759,Eukaryota,superkingdom,1,,,,,,,
421b21cd606045cf1a751a2c59bf3c07313a5971,1,root,no rank,NA,,,,,,,
66f8b4239d45a2a2dd8d0571f1a0b4db003c24d8,33154,Opisthokonta,no rank,1,,,,,,,
7e01b8e9a39610cf65a3d21d7dd5ae62eaa79b69,33634,Stramenopiles,no rank,1,,,,,,,
a1aa43c2c50fbcc807883103ca6aea657ed8d28f,2759,Eukaryota,superkingdom,1,,,,,,,
b32d450154944d4b73bead7f8d849dc2e8cabcd9,2759,Eukaryota,superkingdom,1,,,,,,,
e14132f7ba0c9e725c2c0bd96571895d469531e5,33154,Opisthokonta,no rank,1,,,,,,,
f16c05e498ec78f9584c988b1ca42ee15f056fd2,33154,Opisthokonta,no rank,1,,,,,,,
f387f38f51cbe96f9554c4b8497d818d29380253,2759,Eukaryota,superkingdom,0.952,,,,,,,
19f6b8dfabc4b69f1565a157584d5c1d874614d3,2759,Eukaryota,superkingdom,1,,,,,,,
399074ff4c05e88f94de8abf5d1895ecaa8016ca,33154,Opisthokonta,no rank,0.9997,,,,,,,
4abfea5f52044dd609d9bbf04875419dfe7db968,2759,Eukaryota,superkingdom,0.9999,,,,,,,
550ba3c1df63452ec6d136088918a6be9a55c34c,33208,Metazoa,kingdom,0.8981,Metazoa,,,,,,
6efb033280502a57c6febb1ea9398001caeb6904,33154,Opisthokonta,no rank,1,,,,,,,
709d6b571473300506527c179f6b6155d0772759,1,root,no rank,NA,,,,,,,
ad50e4282b928f6779f4ec9f06201f2640458e9a,33154,Opisthokonta,no rank,1,,,,,,,
b129eaa7ebb0e6b50199c7e3356d8c11b8b82ccd,33850,Bacillariophycidae,no rank,1,,Bacillariophyta,Bacillariophyceae,,,,
bae5c9f3bc504db30f4994e9b9696a46e06004ce,33154,Opisthokonta,no rank,1,,,,,,,
c469ec9c321cd5516acbbceb360a17ddad65d6b3,2759,Eukaryota,superkingdom,1,,,,,,,
efbfd9f97b3cd610c5b651ef4295ade884f22e58,6656,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,
245708db0ea6bc7814e2aa611e0e215706b42454,2759,Eukaryota,superkingdom,0.9997,,,,,,,
39d1799c79f5f333bd86a588efd3420c080910ce,33208,Metazoa,kingdom,1,Metazoa,,,,,,
448adf2177a975404a33b1cff215045cf0cb8fee,33154,Opisthokonta,no rank,1,,,,,,,
